ID;date_time;date;time;temp;site;elev_cat
317;2022-09-12 22:00;2022-09-12;22:00:00;2.475;N;M
318;2022-09-12 23:00;2022-09-12;23:00:00;1.011;N;M
319;2022-09-13 00:00;2022-09-13;00:00:00;2.933;N;M
320;2022-09-13 01:00;2022-09-13;01:00:00;4.012;N;M
321;2022-09-13 02:00;2022-09-13;02:00:00;3.403;N;M
322;2022-09-13 03:00;2022-09-13;03:00:00;2.880;N;M
323;2022-09-13 04:00;2022-09-13;04:00:00;5.081;N;M
324;2022-09-13 05:00;2022-09-13;05:00:00;3.396;N;M
325;2022-09-13 06:00;2022-09-13;06:00:00;3.904;N;M
326;2022-09-13 07:00;2022-09-13;07:00:00;4.814;N;M
327;2022-09-13 08:00;2022-09-13;08:00:00;4.783;N;M
328;2022-09-13 09:00;2022-09-13;09:00:00;8.022;N;M
329;2022-09-13 10:00;2022-09-13;10:00:00;10.417;N;M
330;2022-09-13 11:00;2022-09-13;11:00:00;18.041;N;M
331;2022-09-13 12:00;2022-09-13;12:00:00;19.371;N;M
332;2022-09-13 13:00;2022-09-13;13:00:00;20.028;N;M
333;2022-09-13 14:00;2022-09-13;14:00:00;12.884;N;M
334;2022-09-13 15:00;2022-09-13;15:00:00;11.776;N;M
335;2022-09-06 17:00;2022-09-06;17:00:00;9.548;N;L
336;2022-09-06 18:00;2022-09-06;18:00:00;7.503;N;L
337;2022-09-06 19:00;2022-09-06;19:00:00;6.620;N;L
338;2022-09-06 20:00;2022-09-06;20:00:00;5.850;N;L
339;2022-09-06 21:00;2022-09-06;21:00:00;4.598;N;L
340;2022-09-06 22:00;2022-09-06;22:00:00;4.188;N;L
341;2022-09-06 23:00;2022-09-06;23:00:00;4.437;N;L
342;2022-09-07 00:00;2022-09-07;00:00:00;4.611;N;L
343;2022-09-07 01:00;2022-09-07;01:00:00;3.858;N;L
344;2022-09-07 02:00;2022-09-07;02:00:00;3.991;N;L
345;2022-09-07 03:00;2022-09-07;03:00:00;3.668;N;L
346;2022-09-07 04:00;2022-09-07;04:00:00;3.855;N;L
347;2022-09-07 05:00;2022-09-07;05:00:00;3.874;N;L
348;2022-09-07 06:00;2022-09-07;06:00:00;4.405;N;L
349;2022-09-07 07:00;2022-09-07;07:00:00;5.103;N;L
350;2022-09-07 08:00;2022-09-07;08:00:00;6.335;N;L
351;2022-09-07 09:00;2022-09-07;09:00:00;8.957;N;L
352;2022-09-07 10:00;2022-09-07;10:00:00;10.260;N;L
353;2022-09-07 11:00;2022-09-07;11:00:00;9.720;N;L
354;2022-09-07 12:00;2022-09-07;12:00:00;9.955;N;L
355;2022-09-07 13:00;2022-09-07;13:00:00;10.658;N;L
356;2022-09-07 14:00;2022-09-07;14:00:00;10.854;N;L
357;2022-09-07 15:00;2022-09-07;15:00:00;10.463;N;L
358;2022-09-07 16:00;2022-09-07;16:00:00;10.177;N;L
359;2022-09-07 17:00;2022-09-07;17:00:00;10.352;N;L
360;2022-09-07 18:00;2022-09-07;18:00:00;9.439;N;L
361;2022-09-07 19:00;2022-09-07;19:00:00;2.936;N;L
362;2022-09-07 20:00;2022-09-07;20:00:00;0.539;N;L
363;2022-09-07 21:00;2022-09-07;21:00:00;-0.772;N;L
364;2022-09-07 22:00;2022-09-07;22:00:00;-1.471;N;L
365;2022-09-07 23:00;2022-09-07;23:00:00;-2.369;N;L
366;2022-09-08 00:00;2022-09-08;00:00:00;-2.042;N;L
367;2022-09-08 01:00;2022-09-08;01:00:00;-3.442;N;L
368;2022-09-08 02:00;2022-09-08;02:00:00;-3.323;N;L
369;2022-09-08 03:00;2022-09-08;03:00:00;-2.102;N;L
370;2022-09-08 04:00;2022-09-08;04:00:00;-1.820;N;L
371;2022-09-08 05:00;2022-09-08;05:00:00;-0.753;N;L
372;2022-09-08 06:00;2022-09-08;06:00:00;-2.093;N;L
373;2022-09-08 07:00;2022-09-08;07:00:00;-1.376;N;L
374;2022-09-08 08:00;2022-09-08;08:00:00;6.409;N;L
375;2022-09-08 09:00;2022-09-08;09:00:00;9.162;N;L
376;2022-09-08 10:00;2022-09-08;10:00:00;10.578;N;L
377;2022-09-08 11:00;2022-09-08;11:00:00;12.178;N;L
378;2022-09-08 12:00;2022-09-08;12:00:00;14.119;N;L
379;2022-09-08 13:00;2022-09-08;13:00:00;13.825;N;L
380;2022-09-08 14:00;2022-09-08;14:00:00;15.293;N;L
381;2022-09-08 15:00;2022-09-08;15:00:00;14.980;N;L
382;2022-09-08 16:00;2022-09-08;16:00:00;15.093;N;L
383;2022-09-08 17:00;2022-09-08;17:00:00;14.523;N;L
384;2022-09-08 18:00;2022-09-08;18:00:00;12.789;N;L
385;2022-09-08 19:00;2022-09-08;19:00:00;9.228;N;L
386;2022-09-08 20:00;2022-09-08;20:00:00;2.177;N;L
387;2022-09-08 21:00;2022-09-08;21:00:00;0.210;N;L
388;2022-09-08 22:00;2022-09-08;22:00:00;-0.038;N;L
389;2022-09-08 23:00;2022-09-08;23:00:00;0.435;N;L
390;2022-09-09 00:00;2022-09-09;00:00:00;-1.062;N;L
391;2022-09-09 01:00;2022-09-09;01:00:00;-1.917;N;L
392;2022-09-09 02:00;2022-09-09;02:00:00;-1.458;N;L
393;2022-09-09 03:00;2022-09-09;03:00:00;-1.557;N;L
394;2022-09-09 04:00;2022-09-09;04:00:00;-1.666;N;L
395;2022-09-09 05:00;2022-09-09;05:00:00;-2.976;N;L
396;2022-09-09 06:00;2022-09-09;06:00:00;-0.714;N;L
397;2022-09-09 07:00;2022-09-09;07:00:00;0.681;N;L
398;2022-09-09 08:00;2022-09-09;08:00:00;8.261;N;L
399;2022-09-09 09:00;2022-09-09;09:00:00;13.658;N;L
400;2022-09-09 10:00;2022-09-09;10:00:00;13.744;N;L
401;2022-09-09 11:00;2022-09-09;11:00:00;14.650;N;L
402;2022-09-09 12:00;2022-09-09;12:00:00;13.448;N;L
403;2022-09-09 13:00;2022-09-09;13:00:00;10.851;N;L
404;2022-09-09 14:00;2022-09-09;14:00:00;9.289;N;L
405;2022-09-09 15:00;2022-09-09;15:00:00;9.848;N;L
406;2022-09-09 16:00;2022-09-09;16:00:00;13.403;N;L
407;2022-09-09 17:00;2022-09-09;17:00:00;10.616;N;L
